source,target
"This is a complicated sentence.","This is a simple sentence."
"The weather is extremely cold today.","It is very cold today."
"Please provide a detailed explanation.","Please explain."
"He commenced his journey early in the morning.","He started his trip early."
"The examination was difficult for many students.","The test was hard for many students."
"She purchased a new computer yesterday.","She bought a new computer yesterday."
"The child was frightened by the loud noise.","The child was scared by the noise."
"They utilized the equipment to complete the task.","They used the equipment to finish the task."
"The meeting was postponed because of the storm.","The meeting was delayed because of the storm."
"The professor requested that everyone remain silent.","The professor asked everyone to be quiet."
